gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142252	857.724869273385	1.80931201310802	0.080052991619688	22.6014290846695	4.19571830119883e-113	3.90374906302897e-112
ENSG00000100417	1151.96920402475	-1.88058427202347	0.0832068405237534	-22.6013181150246	4.20627522082179e-113	3.91203420871324e-112
ENSG00000228107	14.3006088636426	-2.76420013594866	0.122307485271654	-22.6004167268191	4.29301547528085e-113	3.99113912207205e-112
ENSG00000164118	681.868870356338	-1.45774687142046	0.0645250645844184	-22.5919474983753	5.2003970385826e-113	4.83281795434055e-112
ENSG00000260751	41.1241901030702	-2.0315851510002	0.0899259410840716	-22.5917585794389	5.22268341978213e-113	4.85162497830604e-112
ENSG00000173915	4725.41950559635	2.28753860615393	0.10126215941661	22.5902609556508	5.40276145899013e-113	5.01694072891872e-112
ENSG00000271992	11.4082270087505	-2.93771189452088	0.130047363618066	-22.5895536271585	5.48995401524029e-113	5.09590831544002e-112
ENSG00000214194	1802.27232624495	1.66014459003281	0.0734964839634994	22.5880817762288	5.67591711901618e-113	5.26645930490533e-112
ENSG00000073803	3705.61375278207	1.62992680859396	0.072181429328158	22.5809716400023	6.66669889759303e-113	6.18334364262066e-112
ENSG00000279368	47.9021802856834	3.96344729852751	0.17552401621506	22.5806552515942	6.71459210375024e-113	6.22532601506272e-112
ENSG00000162664	1625.15835604525	-1.23554901403046	0.0547224659930216	-22.5784600823367	7.05647670432501e-113	6.53973823411789e-112
ENSG00000179799	94.0395153241909	4.85823325357401	0.215203658173552	22.5750495823638	7.62242357619983e-113	7.06147761583865e-112
ENSG00000270977	29.8611772111981	5.88859581803154	0.260858895194299	22.5738739468534	7.82783200356269e-113	7.24893367275561e-112
ENSG00000166428	350.814178111864	3.81350741267816	0.169023894986971	22.5619425760608	1.02520563125413e-112	9.49016581019019e-112
ENSG00000103355	708.899650242702	8.18849597478725	0.362975024676901	22.5593922944868	1.08604413858816e-112	1.00494095965725e-111
ENSG00000155660	15274.4824473059	1.74020941052986	0.0771411572842202	22.5587672235484	1.10149735881112e-112	1.01884202965971e-111
ENSG00000179979	733.105687238232	-2.28578982647815	0.10133230107485	-22.5573662320144	1.13693496485239e-112	1.05120980213744e-111
ENSG00000101825	8868.45370427379	3.17442872452493	0.140728926194784	22.5570450252081	1.14521881830838e-112	1.05845575326792e-111
ENSG00000173171	3091.73317579148	1.55037345474269	0.0687351551827984	22.5557569575501	1.17904734663666e-112	1.08929622009401e-111
ENSG00000113407	4582.49687662667	1.52499705045793	0.06761605859207	22.5537702464778	1.233190013017e-112	1.13887310133501e-111
ENSG00000257894	127.618343766881	-3.64874367274119	0.161823349400821	-22.5476959057596	1.41460942598471e-112	1.30590785956694e-111
ENSG00000150510	822.769478212312	2.96579296460623	0.131545442147421	22.5457675780398	1.47759556641145e-112	1.36352242467095e-111
ENSG00000261879	83.8705199842328	-1.90250011724977	0.0843876162172301	-22.5447785176484	1.51098005747098e-112	1.39378639582607e-111
ENSG00000099949	2660.08553360437	-1.57254873569567	0.0697524774283849	-22.5447008288731	1.51363401312983e-112	1.39569080206002e-111
ENSG00000242294	586.180062625099	-2.18382283334249	0.0968689504930978	-22.5440951122733	1.53448630429161e-112	1.41436750483928e-111
ENSG00000151014	185.850776250363	2.12970043097929	0.0945078240661398	22.5346467556893	1.89946685236638e-112	1.75009632673866e-111
ENSG00000197406	242.315728883735	-4.88220774707286	0.216655925184717	-22.534383691147	1.91078261274453e-112	1.75983747519167e-111
ENSG00000229358	66.9818847143862	-1.97763809851006	0.0877621852484757	-22.5340571558342	1.92492220871533e-112	1.77217080016214e-111
ENSG00000065600	468.534362772885	1.88257666697917	0.0835437134310481	22.5340314628573	1.92603918469118e-112	1.7725099826779e-111
ENSG00000157193	1282.44395552661	2.58017254257776	0.114518645244983	22.5305891198604	2.08169356523754e-112	1.91501250704194e-111
ENSG00000266970	77.2365172124124	3.56240326443851	0.158116623755118	22.5302259802598	2.09882888328696e-112	1.93002598552823e-111
ENSG00000261270	18.6355081194486	-3.12865664867139	0.13887380580557	-22.5287744547857	2.16873887366496e-112	1.99353912226369e-111
ENSG00000275097	238.237626622755	4.87928914781338	0.21658550812895	22.5282346448976	2.19532656365065e-112	2.01719587507504e-111
