gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Type
ENSG00000162482	168.748458016528	-1.9824953658979	0.143569990170641	-13.8085637781378	2.26298431367177e-43	4.44875098077491e-43	Downregulated
ENSG00000139722	2649.99037172183	1.04512247045137	0.0757046691379193	13.8052577516369	2.36923577747396e-43	4.65724173790519e-43	Upregulated
ENSG00000139687	2514.64160300187	1.14794608044325	0.0831536481661738	13.8051198685739	2.37377338289398e-43	4.66577404611494e-43	Upregulated
ENSG00000105991	116.358176683827	-2.59069289966489	0.187666277102088	-13.8047865587252	2.38477804667615e-43	4.68701521972482e-43	Downregulated
ENSG00000260469	87.2510499203827	-3.46112355955254	0.250732522857092	-13.8040471180727	2.40937317989909e-43	4.73496120232637e-43	Downregulated
ENSG00000198502	5029.00346309235	3.09738767297929	0.224394753195755	13.8032981113298	2.43454376253263e-43	4.78403002099669e-43	Upregulated
ENSG00000020633	1871.4648467667	2.46292040450543	0.178443797496963	13.8022191807891	2.47126201699286e-43	4.8557807070263e-43	Upregulated
ENSG00000162373	335.960431023417	-1.66630051740391	0.120739916900226	-13.8007426225154	2.52240683658559e-43	4.95586388014522e-43	Downregulated
ENSG00000006530	1953.49892466294	0.687236310881565	0.0498024918130953	13.7992354571476	2.57569783720989e-43	5.06014677568182e-43	NotSignificant
ENSG00000078081	1319.14146883397	2.11839743020938	0.15351710578081	13.7990969764243	2.58065012432436e-43	5.06945530893284e-43	Upregulated
ENSG00000179886	1839.03260148897	1.17959715778331	0.0854962241986064	13.7970672838502	2.65433144084102e-43	5.21376310142468e-43	Upregulated
ENSG00000196981	959.339490674255	0.827618537220984	0.0599988354432645	13.7939100168634	2.77312646254753e-43	5.44665407321359e-43	NotSignificant
ENSG00000142789	75.1300675812257	-6.55443559026852	0.475173520553027	-13.7937728151186	2.77840703464395e-43	5.45657295955329e-43	Downregulated
ENSG00000197054	308.278127648389	-1.35680556261138	0.0983639985180044	-13.7937211078607	2.78039971954171e-43	5.46003358426174e-43	Downregulated
ENSG00000081059	1262.16519051126	1.57210784160862	0.113984933402506	13.7922424892521	2.83798803654888e-43	5.57266097665154e-43	Upregulated
ENSG00000197536	462.3051848601	-1.30472107719015	0.0946086536043565	-13.7907160442886	2.89868400696057e-43	5.69137135993527e-43	Downregulated
ENSG00000166526	2392.74116225601	0.734499469595163	0.0532633632327512	13.7899566421582	2.92935937953339e-43	5.7511235177822e-43	NotSignificant
ENSG00000146416	2341.5550988521	0.991762836676553	0.0719246711541668	13.7889102690614	2.97215641147372e-43	5.83466188586356e-43	NotSignificant
ENSG00000096070	4000.92145642648	0.951354973817636	0.0690042405415092	13.7869059401553	3.05587856700975e-43	5.99852015155632e-43	NotSignificant
ENSG00000170801	1954.31173446157	-2.16385827181035	0.156957857307291	-13.7862373310433	3.08432539782169e-43	6.05385784938824e-43	Downregulated
ENSG00000170365	1294.83918451766	1.11719687968397	0.0810402912648816	13.7856967472191	3.10751770829473e-43	6.09887375173733e-43	Upregulated
ENSG00000157551	127.469547398259	-2.32004227121758	0.16830115259755	-13.785064661829	3.1348557561332e-43	6.15201802167065e-43	Downregulated
ENSG00000154642	1461.80900303405	1.05590934500014	0.076601738623363	13.7844044270569	3.1636667791327e-43	6.20804389351812e-43	Upregulated
ENSG00000170324	80.1200385056406	-3.82984370121873	0.277865001443979	-13.7831093564004	3.22094778499846e-43	6.31992232358125e-43	Downregulated
ENSG00000178149	2537.02088828169	0.894532689413576	0.0649039953028021	13.7823979131059	3.25285279944181e-43	6.38199531344623e-43	NotSignificant
ENSG00000163710	197.277619901438	-2.12571416625116	0.154236393666173	-13.7821827632461	3.26256306913324e-43	6.4005162314835e-43	Downregulated
ENSG00000169059	70.6341234229309	-4.67019305858454	0.338909703586328	-13.7800511734092	3.36033906131521e-43	6.59178764252199e-43	Downregulated
ENSG00000184441	460.991863959507	-1.56376326969727	0.113501391173557	-13.7774810822018	3.48211259128103e-43	6.83009808225179e-43	Downregulated
ENSG00000182742	1363.44824565061	2.07765335600966	0.150813315402442	13.7763257207462	3.53827556583455e-43	6.93968583810124e-43	Upregulated
ENSG00000279425	190.151743778021	-1.58806705817288	0.115281094332099	-13.7756070704708	3.57366333293007e-43	7.00851201428286e-43	Downregulated
ENSG00000178796	87.396958090942	-3.35936167164373	0.243876433161241	-13.7748515840506	3.6112446542567e-43	7.08162833690637e-43	Downregulated
ENSG00000143158	2162.57065455024	1.03715018264434	0.0752944658387606	13.7745871637544	3.62449079003217e-43	7.10701535418778e-43	Upregulated
ENSG00000153048	5363.27481265804	1.08729246584611	0.0789591169359916	13.7703220101553	3.84495517828569e-43	7.53868457950044e-43	Upregulated
ENSG00000228748	259.073188634566	-2.08841839509062	0.151672615688486	-13.7692515264584	3.90235111023101e-43	7.65058552236795e-43	Downregulated
ENSG00000117139	5328.96077304059	1.13201282818282	0.0822228518253463	13.7676181627388	3.99157341777147e-43	7.8248585942057e-43	Upregulated
ENSG00000162365	90.3803655263759	-3.20795054158636	0.23303569019402	-13.7659194560091	4.08651823028138e-43	8.01031996480404e-43	Downregulated
ENSG00000095574	1165.64285549675	-0.776786057465431	0.056430658331355	-13.7653197824527	4.12056921238446e-43	8.07639751511063e-43	NotSignificant
ENSG00000143228	877.413142329827	1.43283774767488	0.10409385054924	13.7648644959781	4.14660989496358e-43	8.12676508051999e-43	Upregulated
ENSG00000106006	85.1260661581651	-3.52983856965889	0.256465000680469	-13.7634318924348	4.22962225011163e-43	8.28877143593423e-43	Downregulated
ENSG00000169385	134.498485045809	-2.09183773129305	0.151985587942241	-13.7633953298783	4.23176236589696e-43	8.29227913456422e-43	Downregulated
ENSG00000225905	142.643688866935	-1.82390164280072	0.132542706578791	-13.7608601022229	4.38281402641259e-43	8.58755923305119e-43	Downregulated
ENSG00000164649	2461.97040944419	1.2712105851054	0.0923795231881266	13.7607398396789	4.39011116122624e-43	8.60114530751913e-43	Upregulated
ENSG00000215492	279.882378213283	-1.33646315440144	0.0971220194961525	-13.7606606754546	4.39492118059443e-43	8.60985675811165e-43	Downregulated
ENSG00000253379	74.372370018136	-4.23060568540742	0.307497676055172	-13.7581712476044	4.54888311268436e-43	8.91073818872046e-43	Downregulated
ENSG00000164076	81.3626256533428	-3.70933488740684	0.269613342239579	-13.7579796926768	4.56095002188616e-43	8.93363682424042e-43	Downregulated
ENSG00000181826	217.363243711431	-1.39340563549528	0.101290119800576	-13.7565799925864	4.6500952371755e-43	9.10749422010576e-43	Downregulated
ENSG00000138670	1230.93031499235	1.36872568902121	0.0995022470121678	13.755726429513	4.70530622219634e-43	9.21486610167788e-43	Upregulated
ENSG00000135709	370.043216002798	-1.49398578165812	0.108611129309771	-13.7553655058415	4.72884754876664e-43	9.26020353185951e-43	Downregulated
ENSG00000130649	216.349054932656	-2.01126667308645	0.14622484109679	-13.7546169173481	4.77804857936499e-43	9.3557770868092e-43	Downregulated
ENSG00000124802	1235.02879338611	1.13006874093622	0.0821671506328516	13.7532910930028	4.86644137360899e-43	9.52806890075138e-43	Upregulated
ENSG00000135655	1871.75661789384	-0.751087825173809	0.0546212649601286	-13.7508317634547	5.03473446694749e-43	9.85675712632077e-43	NotSignificant
ENSG00000062370	315.410853679767	-1.16856766016812	0.0850010932362951	-13.7476780083241	5.25904568707449e-43	1.02950514900989e-42	Downregulated
ENSG00000143514	3028.75170364017	0.936420639902724	0.0681203756223555	13.7465571988921	5.34113496525432e-43	1.04548842557871e-42	NotSignificant
ENSG00000163467	136.659788391667	-1.90773292315203	0.138807088559669	-13.7437716110006	5.55071696905054e-43	1.08642277326953e-42	Downregulated
ENSG00000163218	89.0422445377165	-3.49788547848853	0.254554553245242	-13.7412017734313	5.75131273917384e-43	1.12559165510288e-42	Downregulated
ENSG00000196704	3176.46681894694	0.875630182050273	0.0637250047048611	13.7407629250983	5.78628201292801e-43	1.13234191557126e-42	NotSignificant
ENSG00000227094	99.3092860732801	-2.83112075238391	0.206052422782158	-13.7398081233775	5.86309702214436e-43	1.14727935201517e-42	Downregulated
ENSG00000120526	1527.08102639249	0.986197053253742	0.0717842495808785	13.73834871872	5.98247263858517e-43	1.17054180804048e-42	NotSignificant
ENSG00000141456	4880.11848398443	0.878736873592821	0.06396385579181	13.7380222426387	6.00950675767757e-43	1.17573420238823e-42	NotSignificant
ENSG00000147471	2553.55180676256	0.956855340069243	0.0696502812114316	13.7379967952261	6.01161904980501e-43	1.17605029312899e-42	NotSignificant
