ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	core_enrichment
EGFR_UP.V1_DN	EGFR_UP.V1_DN	179	0.25700301731963626	1.1113096241743217	0.20285714285714285	0.27689259645464026	10874/55635/4192/3429/79733/2537/8357/3832/80758/51514/8345/684/2146/83990/6491/8969/64699/1535/8365/3012/1475/4277/54145/10280/10950/10964/399664/54892/58495
STK33_UP	STK33_UP	270	-0.25898756234514475	-1.1046432020553385	0.20704845814977973	0.28056566430441165	7857/6252/4254/9518/7035/79739/5997/9934/80315/10472/2167/948/8867/84981/55022/10875/2791/1959/9788/25943/7832/285513/1960/25780/6781/1026/1847/9839/8564/7056/132864/26040/57520/1839/1612/57728/549/5800/1958/11057/388/23764/3572/373/1843/1850/23673/3759/64400/5328/142891/3176/2353/51626/57561/64582/115548/66036/201895/57614/166379/153222/64651/23645/7378/92255/23366/4013/8829/22862/6446/29103/50862/51676/5570/9732/22822/55664/9321/118490/23253/3725/23174/11120/51313/4213/8139/7673/10771/25977/10161/28962/444
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN	160	-0.27498680946462056	-1.1081331004597772	0.22442748091603054	0.3019276182107749	5816/6751/814/6857/4745/3208/23209/687/51083/3912/288/3694/116828/1591/5105/9472/7140/2078/6792/8925/6038/10449/523/23542/2781/2549/6844/4842/1359/5465/51741/4734/5295/30/57326/23530/6004/6820/6609/573/842/2645
DCA_UP.V1_UP	DCA_UP.V1_UP	123	-0.2922709615394649	-1.1302407704089141	0.23015873015873015	0.3052459754587414	8029/9764/26289/5737/23263/2696/26249/8516/5016/29881/80177/482/1804/84951/9699/398/26140/5265/84253/6041/5409/23242/23542/81571/631/2561/54943/105/56475/27165/161176
MEL18_DN.V1_UP	MEL18_DN.V1_UP	136	0.26389538876859675	1.1036852927505867	0.22865013774104684	0.3052459754587414	3604/63967/7130/4222/10123/9955/27092/3117/27099/51200/4277/2919/3624/5329/24147/719/3936/6510/9076/6536/1305/2191/64866/1435/8744/8828/6890/26018/943/8200/8876/3696/3037/1520/8038
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN	152	-0.2776230341780045	-1.1097775136211772	0.23195084485407066	0.30545639427965643	5745/5596/5816/1734/125/814/216/88/4745/687/492/2321/284/5336/5239/1591/5105/9472/2152/7140/1400/4157/28/2781/5624/2549/6844/4842/1359/4734/5295/70/2/23530/3764/7691/573/6387
LEF1_UP.V1_UP	LEF1_UP.V1_UP	171	-0.2690878430236511	-1.091767313176493	0.23773006134969324	0.3108777725342142	1114/2625/384/5799/4128/4023/6585/2774/23237/9829/10202/9201/4129/4753/5563/2254/2273/56967/2791/6526/1959/50486/58528/10810/27344/80014/1960/4005/3589/3040/55503/3489/2786/3768/11095/9590/83604/161176/2258/10763
CTIP_DN.V1_UP	CTIP_DN.V1_UP	86	-0.310179205111024	-1.1327091981674806	0.24675324675324675	0.32043650793650796	443/5745/63827/138046/7123/7010/2788/5737/30819/9122/285596/57538/3741/51162/947/6553/7185/5409/8501/8153/54836/8736
STK33_SKM_UP	STK33_SKM_UP	255	-0.2555285999410033	-1.0871102581123253	0.2536443148688047	0.3271137026239067	23305/9848/6252/4254/7035/29767/79739/5997/9934/80315/2167/948/56670/4133/84981/55022/58476/10875/2791/7832/25780/5797/4982/1026/1847/64332/8564/7056/56977/132864/26040/474170/57520/1839/57728/5800/93953/1958/388/7084/2115/373/1843/1850/23673/54206/3759/1102/5328/55333/142891/2353/51626/55329/57561/64582/115548/256643/201895/55628/166379/153222/65124/7378/57669/143872/92255/23366/11080/6446/29103/50862/51676/5570/22822/55664/9321/118490
WNT_UP.V1_UP	WNT_UP.V1_UP	132	0.261054670280837	1.0939132702401513	0.25675675675675674	0.3288596815994076	9074/8817/9212/3481/3833/4237/25806/3892/2139/3934/284654/5173/2919/4973/972/4049/1718/2810/3625/374407/54437/4150
